Run Date;Combo;Ticker;Fail Count;Top Reason;Top Reason Count;First Failed At;Last Failed At;Reasons JSON
2026-04-26;COMBO;98W.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;51KB.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;5LW0.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;8MM.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;LU5.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;AUD.DE;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;TEN.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;VU5.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;AGR;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;YNS.KL;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;3T00.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;NTH0.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;T8Z.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;JGS.PS;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;HEXO.TO;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;PFGRUPSURA;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;6RM0.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;3HC.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;HSUB.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;3EV.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;9PB.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;MJ5.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;BR01.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;UCM.DE;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;SCT.DE;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;FRMI;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;I5H.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;7750.TW;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;AEGON.AS;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;RLT.MI;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;PMG.OL;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;7F9.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;6589.TW;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;688449.SS;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;LENSKART.NS;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;3JW.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;WR20.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;ZS3.DE;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;MEAL.L;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;KI.MI;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;5YR.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;HX8.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;997.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;AXIA7.SA;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;VZAB.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;GEQ.MI;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;NVCN.TO;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;47F.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;25X.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;7I9.F;1;Download leer oder zu kurz;0;;;{}
